Time [s],SCK,MOSI
0.000000000,1,0
2.599456138,0,0
9.735260624,1,0
9.735261800,1,1
9.735350918,0,1
9.735400638,1,1
9.735400966,1,0
9.735422614,0,0
9.735424254,1,0
9.735424910,0,0
9.735425566,1,0
9.735426222,0,0
9.735426878,1,0
9.735427534,0,0
9.735428190,1,0
9.735428846,0,0
9.735429502,1,0
9.735430158,0,0
9.735430814,1,0
9.735431470,0,0
9.735432126,1,0
9.735432780,0,0
9.735433438,1,0
9.735440654,0,0
9.735441310,0,1
9.735441966,1,1
9.735442622,0,1
9.735443278,1,1
9.735443934,0,1
9.735444590,1,1
9.735445244,0,1
9.735445902,1,1
9.735446558,0,1
9.735447214,1,1
9.735447870,0,1
9.735448526,1,1
9.735449182,0,1
9.735449838,1,1
9.735450494,0,1
9.735451150,1,1
9.735452132,1,0
9.735456726,0,0
9.735458694,1,0
9.735459348,0,0
9.735459350,0,1
9.735460006,1,1
9.735460662,0,0
9.735461318,1,0
9.735461972,0,0
9.735462630,1,0
9.735463284,0,0
9.735463286,0,1
9.735463942,1,1
9.735464598,0,0
9.735465254,1,0
9.735465908,0,0
9.735466566,1,0
9.735467220,0,0
9.735467222,0,1
9.735467878,1,1
9.735468532,0,1
9.735469190,1,1
9.735469844,0,1
9.735470502,1,1
9.735471158,0,0
9.735471814,1,0
9.735472468,0,0
9.735473126,1,0
9.735473780,0,0
9.735473782,0,1
9.735474438,1,1
9.735475092,0,1
9.735475750,1,1
9.735476404,0,1
9.735477062,1,1
9.735477716,0,1
9.735478374,1,1
9.735479028,0,1
9.735479686,1,1
9.735480342,0,0
9.735480998,1,0
9.735481652,0,0
9.735482310,1,0
9.735482964,0,0
9.735482966,0,1
9.735483622,1,1
9.735484278,0,0
9.735484934,1,0
9.735485588,0,0
9.735486246,1,0
9.735486900,0,0
9.735487558,1,0
9.735488212,0,0
9.735488870,1,0
9.735489524,0,0
9.735490182,1,0
9.735490836,0,0
9.735490838,0,1
9.735491494,1,1
9.735492150,0,0
9.735492806,1,0
9.735493460,0,0
9.735494118,1,0
9.735494772,0,0
9.735495430,1,0
9.735496084,0,0
9.735496086,0,1
9.735496742,1,1
9.735497396,0,1
9.735498054,1,1
9.735498710,0,0
9.735499366,1,0
9.735500020,0,0
9.735500022,0,1
9.735500678,1,1
9.735501334,0,0
9.735501990,1,0
9.735502644,0,0
9.735502646,0,1
9.735503302,1,1
9.735503958,0,0
9.735504614,1,0
9.735505268,0,0
9.735505270,0,1
9.735505926,1,1
9.735506582,0,0
9.735507238,1,0
9.735507892,0,0
9.735508550,1,0
9.735509204,0,0
9.735509206,0,1
9.735509862,1,1
9.735510516,0,1
9.735511174,1,1
9.735511830,0,0
9.735512486,1,0
9.735513140,0,0
9.735513142,0,1
9.735513798,1,1
9.735514452,0,1
9.735515110,1,1
9.735515766,0,0
9.735516422,1,0
9.735517076,0,0
9.735517078,0,1
9.735517734,1,1
9.735518390,0,0
9.735519046,1,0
9.735519700,0,0
9.735520358,1,0
9.735521012,0,0
9.735521014,0,1
9.735521670,1,1
9.735522326,0,0
9.735522982,1,0
9.735523636,0,0
9.735523638,0,1
9.735524294,1,1
9.735524950,0,0
9.735525606,1,0
9.735526260,0,0
9.735526918,1,0
9.735527572,0,0
9.735528230,1,0
9.735528884,0,0
9.735529542,1,0
9.735530196,0,0
9.735530198,0,1
9.735530854,1,1
9.735531510,0,0
9.735532166,1,0
9.735532820,0,0
9.735532822,0,1
9.735533478,1,1
9.735534132,0,1
9.735534790,1,1
9.735535446,0,0
9.735536102,1,0
9.735536756,0,0
9.735537414,1,0
9.735538068,0,0
9.735538726,1,0
9.735539380,0,0
9.735540038,1,0
9.735540692,0,0
9.735540694,0,1
9.735541350,1,1
9.735542004,0,1
9.735542662,1,1
9.735543318,0,0
9.735543974,1,0
9.735544628,0,0
9.735545286,1,0
9.735545940,0,0
9.735545942,0,1
9.735546598,1,1
9.735547254,0,0
9.735547910,1,0
9.735548564,0,0
9.735548566,0,1
9.735549222,1,1
9.735549876,0,1
9.735550534,1,1
9.735551188,0,1
9.735551846,1,1
9.735552500,0,1
9.735553158,1,1
9.735553812,0,1
9.735554470,1,1
9.735555124,0,1
9.735555782,1,1
9.735556436,0,1
9.735557094,1,1
9.735557750,0,0
9.735558406,1,0
9.735559060,0,0
9.735559062,0,1
9.735559718,1,1
9.735560374,0,0
9.735561030,1,0
9.735561684,0,0
9.735561686,0,1
9.735562342,1,1
9.735562996,0,1
9.735563654,1,1
9.735564310,0,0
9.735564966,1,0
9.735565620,0,0
9.735565622,0,1
9.735566278,1,1
9.735566932,0,1
9.735567590,1,1
9.735568244,0,1
9.735568902,1,1
9.735569558,0,0
9.735570214,1,0
9.735570868,0,0
9.735570870,0,1
9.735571526,1,1
9.735572180,0,1
9.735572838,1,1
9.735573492,0,1
9.735574150,1,1
9.735574804,0,1
9.735575462,1,1
9.735576118,0,0
9.735576774,1,0
9.735577428,0,0
9.735578086,1,0
9.735578740,0,0
9.735579398,1,0
9.735580052,0,0
9.735580054,0,1
9.735580710,1,1
9.735581364,0,1
9.735582022,1,1
9.735582676,0,1
9.735583334,1,1
9.735583990,0,0
9.735584646,1,0
9.735585300,0,0
9.735585302,0,1
9.735585958,1,1
9.735586614,0,0
9.735587270,1,0
9.735587924,0,0
9.735588582,1,0
9.735589236,0,0
9.735589894,1,0
9.735590548,0,0
9.735590550,0,1
9.735591206,1,1
9.735591862,0,0
9.735592518,1,0
9.735593172,0,0
9.735593174,0,1
9.735593830,1,1
9.735594486,0,0
9.735595142,1,0
9.735595796,0,0
9.735595798,0,1
9.735596454,1,1
9.735597108,0,1
9.735597766,1,1
9.735598420,0,1
9.735599078,1,1
9.735599734,0,0
9.735600390,1,0
9.735601044,0,0
9.735601702,1,0
9.735602356,0,0
9.735603014,1,0
9.735603668,0,0
9.735604326,1,0
9.735604980,0,0
9.735605638,1,0
9.735606292,0,0
9.735606950,1,0
9.735607604,0,0
9.735607606,0,1
9.735608262,1,1
9.735608916,0,1
9.735609574,1,1
9.735610228,0,1
9.735610886,1,1
9.735611540,0,1
9.735612198,1,1
9.735612854,0,0
9.735613510,1,0
9.735614164,0,0
9.735614166,0,1
9.735614822,1,1
9.735615476,0,1
9.735616134,1,1
9.735616790,0,0
9.735617446,1,0
9.735618100,0,0
9.735618758,1,0
9.735619412,0,0
9.735619414,0,1
9.735620070,1,1
9.735620724,0,1
9.735621382,1,1
9.735622038,0,0
9.735622694,1,0
9.735623348,0,0
9.735624006,1,0
9.735624660,0,0
9.735625318,1,0
9.735625972,0,0
9.735626630,1,0
9.735627284,0,0
9.735627942,1,0
9.735628596,0,0
9.735629254,1,0
9.735629908,0,0
9.735630566,1,0
9.735631220,0,0
9.735631878,1,0
9.735632532,0,0
9.735632534,0,1
9.735633190,1,1
9.735633846,0,0
9.735634502,1,0
9.735635156,0,0
9.735635158,0,1
9.735635814,1,1
9.735636468,0,1
9.735637126,1,1
9.735637782,0,0
9.735638438,1,0
9.735639092,0,0
9.735639750,1,0
9.735640404,0,0
9.735641062,1,0
9.735643028,0,0
9.735643030,0,1
9.735643686,1,1
9.735644340,0,1
9.735644998,1,1
9.735645652,0,1
9.735646310,1,1
9.735646964,0,1
9.735647622,1,1
9.735648276,0,1
9.735648934,1,1
9.735649588,0,1
9.735650246,1,1
9.735650900,0,1
9.735651558,1,1
9.735652212,0,1
9.735652870,1,1
9.735653524,0,1
9.735654182,1,1
9.735654836,0,1
9.735655494,1,1
9.735656148,0,1
9.735656806,1,1
9.735657460,0,1
9.735658118,1,1
9.735658772,0,1
9.735659430,1,1
9.735660084,0,1
9.735660742,1,1
9.735661396,0,1
9.735662054,1,1
9.735662708,0,1
9.735663366,1,1
9.735664020,0,1
9.735664678,1,1
9.735665332,0,1
9.735665990,1,1
9.735666644,0,1
9.735667302,1,1
9.735667956,0,1
9.735668614,1,1
9.735669268,0,1
9.735669926,1,1
9.735670580,0,1
9.735671238,1,1
9.735671892,0,1
9.735672550,1,1
9.735673204,0,1
9.735673862,1,1
9.735674516,0,1
9.735675174,1,1
9.735675828,0,1
9.735676486,1,1
9.735677140,0,1
9.735677798,1,1
9.735678452,0,1
9.735679110,1,1
9.735679764,0,1
9.735680422,1,1
9.735681076,0,1
9.735681734,1,1
9.735682388,0,1
9.735683046,1,1
9.735683700,0,1
9.735684358,1,1
9.735685012,0,1
9.735685670,1,1
9.735686324,0,1
9.735686982,1,1
9.735687636,0,1
9.735688294,1,1
9.735688948,0,1
9.735689606,1,1
9.735690260,0,1
9.735690918,1,1
9.735691572,0,1
9.735692230,1,1
9.735692884,0,1
9.735693542,1,1
9.735694196,0,1
9.735694854,1,1
9.735695508,0,1
9.735696166,1,1
9.735696820,0,1
9.735697478,1,1
9.735698132,0,1
9.735698790,1,1
9.735699444,0,1
9.735700102,1,1
9.735700756,0,1
9.735701414,1,1
9.735702068,0,1
9.735702726,1,1
9.735703380,0,1
9.735704038,1,1
9.735704692,0,1
9.735705350,1,1
9.735706004,0,1
9.735706662,1,1
9.735707316,0,1
9.735707974,1,1
9.735708630,0,0
9.735709286,1,0
9.735709940,0,0
9.735710598,1,0
9.735711252,0,0
9.735711910,1,0
9.735712564,0,0
9.735713222,1,0
9.735713876,0,0
9.735714534,1,0
9.735715188,0,0
9.735715846,1,0
9.735716500,0,0
9.735717158,1,0
9.735717812,0,0
9.735718470,1,0
9.735778492,0,0
9.735778494,0,1
9.735779150,1,1
9.735779804,1,0
9.735779806,0,0
9.735780462,1,0
9.735781118,0,0
9.735781774,1,0
9.735782428,0,0
9.735782430,0,1
9.735783086,1,1
9.735783740,0,1
9.735784398,1,1
9.735785054,0,0
9.735785710,1,0
9.735786364,0,0
9.735787022,1,0
9.735787676,0,0
9.735788334,1,0
9.735788338,1,1
9.735788350,1,0
9.735788358,1,1
9.735788990,0,1
9.735788994,0,0
9.735789006,0,1
9.735789020,0,0
9.735789036,0,1
9.735789050,0,0
9.735789056,0,1
9.735789646,1,1
9.735790302,0,1
9.735790958,1,1
9.735791614,0,1
9.735792270,1,1
9.735792924,0,1
9.735793582,1,1
9.735793908,0,1
9.735794566,1,1
9.735795220,1,0
9.735795876,0,0
9.735796206,0,1
9.735796534,1,1
9.735797516,0,1
9.735798174,1,1
9.735799156,0,1
9.735799814,1,1
9.735800796,0,1
9.735801124,0,0
9.735801454,1,0
9.735802108,0,0
9.735802766,1,0
9.735803420,0,0
9.735803750,0,1
9.735804078,1,1
9.735805060,0,1
9.735805388,0,0
9.735805718,1,0
9.735806372,0,0
9.735807030,1,0
9.735807684,0,0
9.735808014,0,1
9.735808342,1,1
9.735809324,0,1
9.735809652,0,0
9.735809982,1,0
9.735810636,0,0
9.735811294,1,0
9.735811948,0,0
9.735812278,0,1
9.735812606,1,1
9.735813588,0,1
9.735813916,0,0
9.735814246,1,0
9.735814900,0,0
9.735815230,0,1
9.735815558,1,1
9.735816540,0,1
9.735816868,0,0
9.735817198,1,0
9.735817852,0,0
9.735818510,1,0
9.735819164,0,0
9.735819822,1,0
9.735820476,0,0
9.735821134,1,0
9.735821788,0,0
9.735822446,1,0
9.735823100,0,0
9.735823758,1,0
9.735824412,0,0
9.735825070,1,0
9.735825724,0,0
9.735826382,1,0
9.735827036,0,0
9.735827694,1,0
9.735828348,0,0
9.735829006,1,0
9.735829660,0,0
9.735829990,0,1
9.735830318,1,1
9.735831300,0,1
9.735831628,0,0
9.735831958,1,0
9.735832612,0,0
9.735833270,1,0
9.735833924,0,0
9.735834582,1,0
9.735835236,0,0
9.735835566,0,1
9.735835894,1,1
9.735836876,0,1
9.735837534,1,1
9.735838516,0,1
9.735839174,1,1
9.735840156,0,1
9.735840814,1,1
9.735841798,0,0
9.735842454,1,0
9.735876492,0,0
9.735876494,0,1
9.735877150,1,1
9.735877804,1,0
9.735877806,0,0
9.735878462,1,0
9.735879116,0,0
9.735879118,0,1
9.735879774,1,1
9.735880428,1,0
9.735880430,0,0
9.735881086,1,0
9.735881740,0,0
9.735882398,1,0
9.735883052,0,0
9.735883054,0,1
9.735883710,1,1
9.735884364,1,0
9.735884366,0,0
9.735885022,1,0
9.735885676,0,0
9.735886334,1,0
9.735886338,1,1
9.735886350,1,0
9.735886358,1,1
9.735886988,0,1
9.735886994,0,0
9.735887006,0,1
9.735887020,0,0
9.735887036,0,1
9.735887050,0,0
9.735887058,0,1
9.735887646,1,1
9.735888300,0,1
9.735888958,1,1
9.735889612,0,1
9.735890270,1,1
9.735890924,0,1
9.735891582,1,1
9.735893548,1,0
10.603724800,1,0
